Wall time,Step,Value
1620380598,145600,0.888782561
1620380604,145632,0.888876259
1620380637,145824,0.888972461
1620380687,146112,0.888883352
1620380709,146240,0.888796389
1620380720,146304,0.888865292
1620380753,146496,0.888570964
1620380770,146592,0.888565898
1620380898,147328,0.888575256
1620380925,147488,0.888632834
1620380997,147904,0.888652563
1620381019,148032,0.888439119
1620381036,148128,0.888469934
1620381119,148608,0.888311028
1620381163,148864,0.888487875
1620381186,148992,0.888420999
1620381291,149600,0.888635576
1620381307,149696,0.88839829
1620381313,149728,0.888382614
1620381324,149792,0.888414383
1620381335,149856,0.888424933
1620381341,149888,0.888376296
1620381363,150016,0.888348699
1620381368,150048,0.888341904
1620381429,150400,0.888507426
1620381463,150592,0.888185799
1620381485,150720,0.888271451
1620381613,151456,0.888471663
1620381685,151872,0.888739228
1620381729,152128,0.888814092
1620381763,152320,0.888758123
1620381774,152384,0.888723373
1620381835,152736,0.888808787
1620381841,152768,0.888772428
1620381923,153248,0.888727903
1620381940,153344,0.888744414
1620382001,153696,0.888758719
1620382006,153728,0.888769448
1620382023,153824,0.888803959
1620382117,154368,0.88876164
1620382139,154496,0.88878125
1620382162,154624,0.888749599
1620382211,154912,0.888894439
1620382239,155072,0.888918579
1620382250,155136,0.888975978
1620382261,155200,0.888957441
1620382311,155488,0.888879895
1620382339,155648,0.88896662
1620382367,155808,0.888928294
1620382444,156256,0.889207423
1620382450,156288,0.889212906
1620382461,156352,0.88923496
1620382489,156512,0.889182329
1620382538,156800,0.889234781
1620382572,156992,0.88931483
1620382644,157408,0.889396608
1620382694,157696,0.889456272
1620382727,157888,0.889506876
1620382733,157920,0.889479041
1620382755,158048,0.889532149
1620382788,158240,0.889445126
1620382822,158432,0.889482498
1620382850,158592,0.889511049
1620382867,158688,0.889595926
1620382878,158752,0.889598072
1620382939,159104,0.889651299
1620382962,159232,0.889695644
1620383012,159520,0.8897385
1620383034,159648,0.88979739
1620383056,159776,0.88979274
1620383084,159936,0.889786065
1620383112,160096,0.889846444
1620383839,160320,0.892325103
1620383867,160480,0.893413603
1620383878,160544,0.893884897
1620383889,160608,0.892476618
1620383894,160640,0.892361104
1620383944,160928,0.89158082
1620383950,160960,0.891469061
1620383956,160992,0.891076565
1620383989,161184,0.889309347
1620384055,161568,0.88757807
1620384083,161728,0.88749218
1620384128,161984,0.88777262
1620384139,162048,0.888274312
1620384194,162368,0.888651848
1620384205,162432,0.888693035
1620384288,162912,0.889003575
1620384349,163264,0.889155626
1620384360,163328,0.889282644
1620384383,163456,0.889306068
1620384394,163520,0.88927573
1620384449,163840,0.889594018
1620384466,163936,0.889702022
1620384510,164192,0.889729381
1620384583,164608,0.890293717
1620384594,164672,0.890298426
1620384655,165024,0.89048779
1620384693,165248,0.890780628
1620384710,165344,0.890957475
1620384732,165472,0.891171634
1620384809,165920,0.891399086
1620384870,166272,0.891308963
1620384909,166496,0.891535163
1620384948,166720,0.891442657
1620385003,167040,0.891513288
1620385020,167136,0.891287088
1620385042,167264,0.891108811
1620385048,167296,0.891023874
1620385075,167456,0.891194224
1620385109,167648,0.891254485
1620385120,167712,0.891282141
1620385175,168032,0.891591549
1620385181,168064,0.891611278
1620385275,168608,0.891842782
1620385292,168704,0.891800046
1620385320,168864,0.891860783
1620385331,168928,0.891830444
1620385386,169248,0.891760767
1620385397,169312,0.891691625
1620385464,169696,0.891599834
1620385481,169792,0.891658068
1620385492,169856,0.891625524
1620385531,170080,0.891458631
1620385586,170400,0.891560376
1620385631,170656,0.891691983
1620385642,170720,0.891697347
1620385653,170784,0.891726077
1620385669,170880,0.891774416
1620385680,170944,0.891761839
1620385730,171232,0.891768932
1620385786,171552,0.891769707
1620385791,171584,0.891810119
1620385836,171840,0.891781569
1620385847,171904,0.89185226
1620385869,172032,0.891833782
1620385874,172064,0.891861975
1620385980,172672,0.891971409
1620386008,172832,0.892097116
1620386019,172896,0.89215827
1620386024,172928,0.892122686
1620386041,173024,0.892157555
1620386091,173312,0.892211795
1620386190,173888,0.892292976
1620386246,174208,0.892454803
1620386302,174528,0.892490089
1620386329,174688,0.892518997
1620386352,174816,0.892530143
1620386357,174848,0.892542958
1620386380,174976,0.892513812
1620386413,175168,0.892498016
1620386418,175200,0.892520964
1620386424,175232,0.892531455
1620386440,175328,0.892525554
1620386457,175424,0.892568827
1620386535,175872,0.892567098
1620386563,176032,0.892643809
1620386579,176128,0.892713726
1620386674,176672,0.892818809
1620386679,176704,0.892799497
1620386701,176832,0.892771602
1620386729,176992,0.892803133
1620386768,177216,0.892765462
1620386818,177504,0.892819881
1620386829,177568,0.892795682
1620386885,177888,0.89280057
